conf_id,person_model,station_model,person_conf,person_iou,imgsz,tracker,PROXIMITY_THRESHOLD,MIN_TIME_OUTSIDE,accuracy,precision,recall,f1_score,accuracy_count,precision_count_macro,recall_count_macro,f1_count_macro,mean_absolute_error_count,mean_squared_error_count
config_28,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.5,0.5,1920,trackers/botsort.yaml,150,2.0,0.8266666666666667,0.9111111111111111,0.82,0.8631578947368421,0.67,0.33029248760956076,0.30027540360873695,0.30880548782847633,0.43333333333333335,0.7933333333333333
config_29,yolo_models/yolo11s.pt,station_models/stationv1.pt,0.35,0.4,1280,trackers/bytetrack.yaml,50,1.0,0.86,0.9488636363636364,0.835,0.8882978723404256,0.73,0.4087427167639598,0.3814017094017094,0.3867520627139428,0.33666666666666667,0.49
config_30,yolo_models/yolo11m.pt,station_models/stationv1.pt,0.35,0.4,1280,trackers/botsort.yaml,50,1.0,0.8733333333333333,0.945054945054945,0.86,0.900523560209424,0.7533333333333333,0.369774011299435,0.32983682983682977,0.34306755378747994,0.32,0.49333333333333335
config_31,yolo_models/yolo11tm.pt,station_models/stationv1.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1.0,0.83,0.9162011173184358,0.82,0.8654353562005277,0.7166666666666667,0.7289481739242505,0.7262298195631529,0.7216052995788679,0.37333333333333335,0.6333333333333333
config_32,yolo_models/yolo11tm.pt,station_models/stationv1.pt,0.35,0.4,1920,trackers/botsort.yaml,150,1.0,0.8166666666666667,0.9142857142857143,0.8,0.8533333333333334,0.7166666666666667,0.7381139472806139,0.6737606837606838,0.6979830383579153,0.36666666666666664,0.5866666666666667
config_33,yolo_models/yolo11tm.pt,station_models/stationv1.pt,0.4,0.4,1920,trackers/bytetrack.yaml,150,1.0,0.8366666666666667,0.9171270718232044,0.83,0.8713910761154856,0.73,0.6609534221162129,0.6205042735042735,0.6315284707436718,0.36666666666666664,0.6733333333333333
config_34,yolo_models/yolo11tm.pt,station_models/stationv1.pt,0.4,0.4,1920,trackers/botsort.yaml,150,1.0,0.8333333333333334,0.9261363636363636,0.815,0.8670212765957447,0.7266666666666667,0.5968746333130844,0.5779059829059829,0.5845906121901697,0.36,0.5866666666666667
config_35,yolo_models/yolo11s.pt,station_models/stationv1.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1.0,0.8566666666666667,0.8829268292682927,0.905,0.8938271604938272,0.6866666666666666,0.38107700270743755,0.4330085470085471,0.39414577448717236,0.45666666666666667,0.8566666666666667
config_36,yolo_models/yolo11s.pt,station_models/stationv1.pt,0.35,0.4,1920,trackers/botsort.yaml,150,1.0,0.8566666666666667,0.9025641025641026,0.88,0.8911392405063291,0.7066666666666667,0.4544999899495467,0.45511965811965804,0.45221047245437485,0.39,0.6366666666666667
config_37,yolo_models/yolo11s.pt,station_models/stationv1.pt,0.4,0.4,1920,trackers/bytetrack.yaml,150,1.0,0.8633333333333333,0.8878048780487805,0.91,0.8987654320987655,0.6666666666666666,0.3940279124231652,0.44057929724596384,0.40132230357752907,0.5,0.9666666666666667
config_38,yolo_models/yolo11s.pt,station_models/stationv1.pt,0.4,0.4,1920,trackers/botsort.yaml,150,1.0,0.8566666666666667,0.8866995073891626,0.9,0.8933002481389578,0.7,0.4117399338650068,0.4519743589743589,0.42815629248624043,0.41333333333333333,0.7266666666666667
config_39,yolo_models/yolo11tm.pt,station_models/stationv1.pt,0.35,0.4,928,trackers/botsort.yaml,150,1.0,0.8066666666666666,0.94375,0.755,0.8388888888888889,0.7033333333333334,0.36024216524216524,0.31442735042735037,0.3280017921146953,0.43,0.8366666666666667
config_40,yolo_models/yolo11tm.pt,station_models/stationv1.pt,0.4,0.4,928,trackers/botsort.yaml,50,1.5,0.7833333333333333,0.9655172413793104,0.7,0.8115942028985508,0.6533333333333333,0.36775370635214905,0.28444444444444444,0.3010058333339544,0.54,1.18
